supu;ika;koulutus;siviilis;tyotilan;omistusa;oma_tulo;kotittul;saasto95;saasto94;asuntol;muulaina;yltyyt;taltyyt;ihmtyyt
2,00;45,00;5,00;1,00;1,00;1,00;4352,00;4458,00;43458,00;69000,00;94238,00;61462,00;3,00;3,00;3,00
2,00;49,00;5,00;2,00;1,00;0,00;4902,00;11233,00;41334,00;37000,00;0,00;230835,00;3,00;2,00;3,00
2,00;56,00;2,00;2,00;1,00;0,00;5376,00;9887,00;25647,00;23000,00;0,00;7887,00;2,00;2,00;2,00
2,00;39,00;4,00;1,00;1,00;0,00;4932,00;5659,00;31092,00;26000,00;0,00;58550,00;2,00;1,00;2,00
1,00;33,00;2,00;3,00;0,00;0,00;2563,00;3375,00;3548,00;15000,00;0,00;1375,00;4,00;4,00;4,00
1,00;38,00;3,00;2,00;1,00;0,00;4423,00;11299,00;23997,00;18000,00;0,00;83695,00;2,00;2,00;2,00
2,00;34,00;5,00;1,00;1,00;0,00;8168,00;9120,00;28266,00;16000,00;0,00;178007,00;2,00;2,00;1,00
2,00;38,00;3,00;3,00;0,00;0,00;3498,00;3879,00;6216,00;15000,00;0,00;16916,00;4,00;3,00;4,00
1,00;33,00;4,00;1,00;0,00;0,00;2275,00;2541,00;20300,00;39000,00;0,00;8659,00;4,00;4,00;4,00
1,00;29,00;4,00;2,00;1,00;1,00;8409,00;12661,00;19440,00;90000,00;415816,00;170579,00;3,00;3,00;3,00
2,00;44,00;4,00;3,00;0,00;0,00;2037,00;2065,00;6146,00;25000,00;0,00;1053,00;4,00;4,00;4,00
1,00;25,00;3,00;3,00;1,00;0,00;5412,00;6275,00;9362,00;12000,00;0,00;38476,00;2,00;2,00;2,00
1,00;48,00;4,00;2,00;1,00;1,00;7864,00;13810,00;37436,00;45000,00;77712,00;188975,00;2,00;2,00;1,00
1,00;37,00;4,00;1,00;0,00;0,00;5403,00;6212,00;27577,00;25000,00;0,00;67404,00;2,00;2,00;1,00
1,00;33,00;3,00;2,00;1,00;0,00;6587,00;14497,00;23284,00;32000,00;0,00;112476,00;2,00;2,00;1,00
1,00;39,00;4,00;1,00;0,00;0,00;2220,00;2829,00;28867,00;40000,00;0,00;13279,00;4,00;4,00;4,00
1,00;37,00;4,00;2,00;0,00;1,00;4715,00;9206,00;11314,00;30000,00;148073,00;115309,00;4,00;3,00;4,00
1,00;43,00;2,00;2,00;0,00;0,00;3270,00;11270,00;34588,00;30000,00;0,00;9270,00;2,00;2,00;2,00
2,00;36,00;4,00;2,00;0,00;0,00;3764,00;10547,00;21359,00;25500,00;0,00;136763,00;3,00;2,00;4,00
2,00;49,00;3,00;2,00;0,00;0,00;2708,00;8403,00;19832,00;49000,00;0,00;57634,00;4,00;4,00;4,00
1,00;46,00;3,00;1,00;1,00;1,00;7310,00;7795,00;46808,00;38000,00;52340,00;52156,00;2,00;2,00;1,00
2,00;42,00;3,00;1,00;0,00;1,00;2969,00;3755,00;35969,00;50000,00;255000,00;15799,00;4,00;4,00;4,00
2,00;43,00;5,00;3,00;0,00;1,00;2192,00;2800,00;5643,00;31000,00;246573,00;20011,00;4,00;4,00;4,00
2,00;24,00;4,00;2,00;1,00;0,00;5426,00;10699,00;13287,00;27000,00;0,00;139193,00;2,00;4,00;1,00
2,00;39,00;3,00;2,00;1,00;1,00;4127,00;11492,00;30415,00;61500,00;336325,00;85436,00;4,00;3,00;4,00
2,00;44,00;4,00;3,00;0,00;1,00;2194,00;2524,00;8690,00;36000,00;261663,00;8390,00;4,00;4,00;3,00
2,00;38,00;3,00;2,00;0,00;1,00;3233,00;8441,00;12412,00;43000,00;307467,00;57971,00;4,00;4,00;4,00
1,00;31,00;5,00;2,00;0,00;1,00;2346,00;6972,00;7019,00;52000,00;313355,00;124300,00;4,00;4,00;4,00
2,00;39,00;3,00;2,00;1,00;1,00;5701,00;13211,00;28754,00;25000,00;160687,00;100901,00;2,00;1,00;2,00
2,00;45,00;4,00;2,00;1,00;1,00;3416,00;10769,00;31501,00;30000,00;27219,00;140319,00;2,00;2,00;2,00
1,00;33,00;4,00;2,00;0,00;0,00;4581,00;12362,00;19509,00;24000,00;0,00;165792,00;2,00;1,00;2,00
2,00;36,00;3,00;1,00;0,00;0,00;3763,00;4067,00;25274,00;33000,00;0,00;18609,00;3,00;3,00;2,00
1,00;22,00;3,00;1,00;0,00;0,00;4805,00;5696,00;10283,00;17000,00;0,00;33264,00;2,00;2,00;2,00
2,00;28,00;3,00;2,00;1,00;0,00;4952,00;10257,00;13108,00;10000,00;0,00;74319,00;2,00;2,00;2,00
2,00;36,00;2,00;1,00;0,00;0,00;2715,00;2739,00;26613,00;37000,00;0,00;739,00;2,00;4,00;1,00
2,00;41,00;4,00;2,00;1,00;0,00;4257,00;11641,00;32301,00;30000,00;0,00;154256,00;1,00;2,00;1,00
2,00;37,00;4,00;2,00;1,00;0,00;4470,00;9977,00;14533,00;34000,00;0,00;127639,00;3,00;3,00;4,00
1,00;40,00;4,00;2,00;0,00;0,00;3158,00;11208,00;27863,00;25000,00;0,00;147334,00;2,00;2,00;2,00
1,00;52,00;3,00;2,00;1,00;0,00;4378,00;10943,00;46758,00;55000,00;0,00;80490,00;2,00;3,00;1,00
2,00;55,00;4,00;2,00;0,00;1,00;5035,00;13292,00;48900,00;45000,00;205015,00;180682,00;1,00;1,00;1,00
1,00;44,00;3,00;1,00;0,00;1,00;3897,00;4323,00;41365,00;60000,00;225872,00;20912,00;3,00;3,00;2,00
2,00;22,00;3,00;1,00;0,00;1,00;3965,00;4218,00;11277,00;22000,00;149500,00;19963,00;4,00;4,00;3,00
2,00;39,00;4,00;2,00;0,00;1,00;4608,00;12335,00;30242,00;52000,00;282150,00;165366,00;3,00;4,00;3,00
2,00;35,00;4,00;2,00;0,00;1,00;5613,00;12290,00;25744,00;40000,00;108085,00;164641,00;2,00;3,00;2,00
1,00;45,00;4,00;1,00;1,00;0,00;7479,00;7911,00;42656,00;50000,00;0,00;94587,00;3,00;2,00;3,00
1,00;41,00;4,00;3,00;0,00;0,00;3755,00;4270,00;9404,00;20000,00;0,00;36324,00;4,00;3,00;4,00
1,00;32,00;4,00;1,00;1,00;0,00;8516,00;9335,00;27696,00;25000,00;0,00;117366,00;2,00;2,00;2,00
1,00;53,00;3,00;1,00;1,00;0,00;5306,00;5601,00;59387,00;50000,00;0,00;32417,00;1,00;1,00;1,00
2,00;55,00;4,00;4,00;1,00;0,00;5701,00;6184,00;62451,00;55000,00;0,00;66949,00;1,00;1,00;1,00
1,00;41,00;3,00;4,00;1,00;0,00;6997,00;7191,00;36270,00;34000,00;0,00;46727,00;1,00;1,00;1,00
2,00;49,00;4,00;1,00;1,00;0,00;3494,00;3929,00;48406,00;53000,00;0,00;30866,00;2,00;2,00;2,00
